ilkid,firstname,lastname,leag,gp,minutes,pts,dreb,oreb,reb,asts,stl,blk,turnover,pf,fga,fgm,fta,ftm,tpa,tpm
ILGAUZY01 ,Zydrunas,Ilgauskas,N,64,1950,772,339,173,512,67,26,75,96,210,643,308,206,154,13,2
IMHOFDA01 ,Darrall,Imhoff,N,54,1251,354,0,0,442,101,0,0,0,179,291,139,131,76,0,0
INNIGER01 ,Erv,Inniger,A,10,364,136,0,0,57,35,0,0,0,36,140,55,32,26,0,0
IRVINBY01 ,Byron,Irvin,N,4,47,15,4,4,8,5,2,0,3,7,22,5,6,5,0,0
IRVINGE01 ,George,Irvine,A,28,472,219,0,0,48,27,0,0,0,73,162,89,47,41,0,0
ISSELDA01 ,Dan,Issel,A,80,3123,1904,0,0,862,136,0,0,0,308,1543,744,508,416,0,0
ISSELDA01 ,Dan,Issel,N,53,1599,1029,128,45,393,145,37,20,45,157,810,402,269,223,4,2
IVERSAL01 ,Allen,Iverson,N,71,3204,2111,214,59,273,425,147,14,221,157,1882,755,626,478,376,123
IVEYRO01  ,Royal,Ivey,N,6,45,11,3,1,4,0,3,0,0,6,11,3,4,3,7,2
JABALWA01 ,Warren,Jabali,A,36,1209,646,167,80,306,115,0,0,100,111,532,221,282,198,45,6
JACKSBO01 ,Bobby,Jackson,N,58,1261,533,128,37,165,119,43,6,66,101,486,197,119,96,159,43
JacksDa01 ,Darnell,Jackson,N,5,25,2,5,0,5,1,0,0,1,5,5,1,2,0,0,0
JACKSJA01 ,Jaren,Jackson,N,51,1024,379,105,31,136,51,29,4,55,115,333,134,69,49,175,62
JACKSJE01 ,Jermaine,Jackson,N,6,16,6,1,0,1,2,0,0,3,3,5,2,6,2,0,0
JACKSJI01 ,Jim,Jackson,N,36,981,338,120,26,146,53,23,11,39,81,280,120,62,53,110,45
JACKSLU01 ,Lucious,Jackson,N,56,1692,545,0,0,508,92,0,0,0,186,555,216,152,113,0,0
JACKSLU02 ,Luke,Jackson,N,3,11,6,4,1,5,1,1,0,1,3,0,0,6,6,0,0
JACKSMA01 ,Mark,Jackson,N,131,3775,1185,364,113,477,904,131,8,292,225,1013,438,273,212,281,97
JACKSMA02 ,Marc,Jackson,N,12,176,67,28,13,41,8,4,3,15,29,52,22,30,23,1,0
JACKSME01 ,Merv,Jackson,A,46,1391,597,0,0,179,188,0,0,0,87,543,250,120,97,0,0
JACKSPH01 ,Phil,Jackson,N,67,1223,515,0,0,284,63,4,0,0,208,437,200,147,115,0,0
JACKSST02 ,Stephen,Jackson,N,30,1153,508,99,18,117,89,51,15,90,100,421,161,165,134,161,52
JACOBCA01 ,Casey,Jacobsen,N,6,39,6,2,1,3,2,3,0,1,4,10,2,2,0,5,2
JAMERDA01 ,Dave,Jamerson,N,2,21,16,2,1,3,4,1,0,1,4,13,5,6,6,1,0
JAMESGE01 ,Gene,James,N,1,0,2,0,0,0,0,0,0,0,0,3,1,0,0,0,0
JAMESHE01 ,Henry,James,N,16,67,12,1,2,3,4,2,0,5,14,23,4,4,2,9,2
JAMESJE01 ,Jerome,James,N,17,369,160,51,38,89,9,6,25,19,67,136,67,36,26,0,0
JAMESLE01 ,LeBron,James,N,60,2629,1761,413,83,496,436,98,48,223,147,1293,584,680,506,289,87
JAMESMI01 ,Mike,James,N,33,394,150,31,9,40,41,13,2,26,40,127,54,42,34,28,8
JAMISAN01 ,Antawn,Jamison,N,31,1152,594,170,72,242,43,28,20,49,92,517,229,130,91,125,45
JAROSTO01 ,Tony,Jaros,N,9,0,21,0,0,7,6,0,0,0,13,23,6,13,9,0,0
JASIKSA01 ,Sarunas,Jasikevicius,N,10,72,18,5,1,6,8,0,1,5,8,20,7,4,2,9,2
JEFFEAL01 ,Al,Jefferson,N,7,136,43,28,17,45,2,4,8,4,16,41,17,12,9,0,0
JEFFERI01 ,Richard,Jefferson,N,78,2678,1181,344,78,422,195,63,30,180,212,886,420,413,305,117,36
JEFFRJA01 ,Jared,Jeffries,N,16,462,112,39,39,78,27,10,16,24,53,92,41,34,26,13,4
JENNIKE01 ,Keith,Jennings,N,3,39,15,4,1,5,4,1,0,4,11,13,4,7,6,5,1
JENTCH01  ,Chris,Jent,N,11,62,13,8,1,9,7,2,0,3,7,20,5,0,0,13,3
JOHNSAM01 ,Amir,Johnson,N,11,56,23,12,4,16,1,0,4,2,10,13,10,6,3,1,0
JOHNSAN01 ,Andy,Johnson,N,12,233,100,0,0,55,22,0,0,0,37,89,35,56,30,0,0
JOHNSAN02 ,Anthony,Johnson,N,99,1564,482,129,34,163,220,52,10,83,155,431,174,136,98,111,36
JOHNSAR01 ,Arnie,Johnson,N,22,166,216,0,0,157,69,0,0,0,106,146,62,122,92,0,0
JOHNSAV01 ,Avery,Johnson,N,90,2807,949,144,42,186,562,102,11,171,174,819,398,230,152,16,1
JOHNSBU01 ,Buck,Johnson,N,20,382,130,28,21,49,30,12,5,21,46,125,53,33,24,2,0
JOHNSCH01 ,Charlie,Johnson,N,85,1723,722,0,0,207,142,33,3,0,201,806,321,107,80,0,0
JOHNSCL01 ,Clemon,Johnson,N,66,1118,270,122,99,238,26,33,52,45,139,230,107,92,56,2,0
JOHNSCL02 ,Clay,Johnson,N,17,67,24,4,4,8,3,3,0,2,12,20,11,2,2,2,0
JOHNSDE01 ,Dennis,Johnson,N,180,7004,3116,405,171,781,1006,247,113,373,575,2661,1167,943,756,109,26
JOHNSDE03 ,Dermarr,Johnson,N,10,129,36,15,5,20,7,2,4,1,12,38,14,3,3,24,5
JOHNSED01 ,Ed,Johnson,A,7,216,94,0,0,67,5,0,0,0,0,69,32,52,30,0,0
JOHNSED02 ,Eddie,Johnson,N,37,885,442,37,10,86,150,31,6,34,79,359,174,117,91,11,3
JOHNSED03 ,Eddie A.,Johnson,N,89,2114,1168,199,113,312,102,46,13,98,199,1054,452,228,197,216,67
JOHNSER01 ,Ervin,Johnson,N,77,1582,267,318,150,468,36,39,82,41,219,225,104,87,59,0,0
JOHNSER02 ,Eric,Johnson,N,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
JOHNSFR01 ,Frank,Johnson,N,54,801,290,43,20,63,126,31,0,60,87,257,102,91,78,29,8
JOHNSGE01 ,George T.,Johnson,N,50,868,237,39,24,315,43,5,23,7,131,179,99,63,39,0,0
JOHNSGE02 ,George E.,Johnson,N,11,35,15,0,0,11,2,0,0,0,9,13,7,2,1,0,0
JOHNSGE02 ,George E.,Johnson,A,4,96,6,0,0,24,9,0,0,0,16,9,3,0,0,0,0
JOHNSGE03 ,George L.,Johnson,N,7,47,21,7,4,11,1,0,0,3,3,16,10,0,0,1,1
JOHNSGU01 ,Gus,Johnson,N,34,1125,452,0,0,330,76,0,0,0,110,446,177,129,98,0,0
JOHNSGU01 ,Gus,Johnson,A,17,184,42,0,0,69,15,0,0,0,27,59,15,16,12,0,0
JOHNSJO01 ,John,Johnson,N,73,2002,711,65,51,359,275,39,12,67,195,656,295,173,121,1,0
JOHNSJO02 ,Joe,Johnson,N,33,1223,521,102,39,141,105,30,6,70,73,459,194,116,83,120,50
JOHNSKE01 ,Kevin,Johnson,N,105,3879,2026,279,70,349,935,132,30,354,233,1504,705,713,594,90,22
JOHNSKE02 ,Ken,Johnson,N,2,11,0,2,0,2,0,2,0,1,1,0,0,0,0,0,0
JOHNSLA01 ,Larry,Johnson,N,66,2397,937,249,102,351,134,55,11,121,202,727,351,245,188,155,47
JOHNSLI01 ,Linton,Johnson,N,3,10,4,2,2,4,1,0,0,0,1,2,1,2,2,0,0
JOHNSMA01 ,Magic,Johnson,N,190,7538,3701,1116,349,1465,2346,358,64,696,524,2552,1291,1274,1068,212,51
JOHNSMA02 ,Marques,Johnson,N,54,2112,1163,177,138,427,198,56,45,97,156,964,471,311,218,13,3
JOHNSMI01 ,Mickey,Johnson,N,22,559,302,49,41,129,40,19,10,37,74,234,109,101,84,4,0
JOHNSNA01 ,Nate,Johnston,N,3,19,13,4,2,6,1,1,1,0,5,11,6,1,1,0,0
JOHNSNE01 ,Neil,Johnson,A,17,351,143,0,0,121,37,0,0,0,70,118,54,52,35,0,0
JOHNSNE02 ,Neil,Johnston,N,31,779,373,0,0,287,80,0,0,0,89,344,132,147,109,0,0
JOHNSOL01 ,Ollie,Johnson,N,16,209,78,3,2,31,10,3,2,2,21,77,33,12,12,1,0
JOHNSRE01 ,Reggie,Johnson,N,28,448,111,57,28,85,31,11,21,21,68,89,41,38,29,0,0
JOHNSRI01 ,Rich,Johnson,N,2,4,2,0,0,2,0,0,0,0,0,1,1,0,0,0,0
JOHNSST01 ,Steve,Johnson,N,13,246,111,32,23,55,6,4,2,20,40,91,37,59,37,0,0
JOHNSST01 ,Steve,Johnson,A,15,569,226,0,0,93,33,0,0,0,32,264,103,25,20,0,0
JOHNSVI01 ,Vinnie,Johnson,N,116,2671,1387,197,167,364,306,65,22,142,234,1275,578,284,214,62,17
JOLLIHO01 ,Howie,Jolliff,N,13,112,24,0,0,53,15,0,0,0,21,22,8,8,8,0,0
JONESAL01 ,Alvin,Jones,N,2,5,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0
JONESAN01 ,Anthony,Jones,N,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
JONESBO01 ,Bobby,Jones,N,125,3431,1453,274,160,614,284,115,142,148,400,1034,553,429,347,3,0
JONESBO01 ,Bobby,Jones,A,26,859,347,0,0,223,97,0,0,0,102,256,143,81,61,0,0
JONESCA01 ,Caldwell,Jones,A,6,277,83,0,0,94,15,0,0,0,19,88,36,16,11,0,0
JONESCA01 ,Caldwell,Jones,N,119,3466,814,446,170,993,147,42,183,117,426,665,322,224,170,4,0
JONESCH01 ,Charles,Jones,N,44,591,66,72,36,108,13,13,31,17,115,54,23,36,20,1,0
JONESCH03 ,Charles A.,Jones,N,4,36,12,3,1,4,3,0,3,3,4,6,3,6,6,0,0
JONESDA01 ,Damon,Jones,N,59,1169,330,98,9,107,146,19,0,36,80,267,114,47,31,186,71
JONESDA02 ,Dahntay,Jones,N,23,397,151,35,19,54,11,15,5,17,56,107,51,57,43,17,6
JONESDW01 ,Dwight,Jones,N,33,625,209,63,30,156,33,7,9,25,75,171,80,60,49,0,0
JONESDW02 ,Dwayne,Jones,N,5,20,3,4,2,6,0,0,1,1,4,2,1,2,1,0,0
JONESED01 ,Eddie,Jones,N,81,2766,1037,270,57,327,197,105,61,107,239,804,348,277,217,324,124
JONESED02 ,Edgar,Jones,N,15,238,100,36,25,61,20,8,14,20,50,80,37,41,26,3,0
JONESFR01 ,Fred,Jones,N,33,663,166,70,6,76,44,21,10,32,57,141,56,32,28,61,26
JONESJA01 ,Jake,Jones,N,18,371,130,0,0,39,31,0,0,0,36,109,51,32,28,0,0
JONESJA01 ,Jake,Jones,A,71,2853,1540,0,0,371,340,0,0,0,244,1155,602,448,336,0,0
JONESJA02 ,James,Jones,N,51,973,260,104,26,130,23,17,28,21,73,196,83,70,57,91,37
JONESJO01 ,Johnny,Jones,N,5,10,6,0,0,4,0,0,0,0,2,6,3,0,0,0,0
JONESJU01 ,Jumaine,Jones,N,29,483,133,53,36,89,19,10,11,14,37,134,55,21,15,36,8
JONESKC01 ,K.c.,Jones,N,105,2494,668,0,0,320,396,0,0,0,335,656,241,269,186,0,0
JONESLA01 ,Larry,Jones,N,5,25,17,0,0,4,2,0,0,0,5,12,5,11,7,0,0
JONESLA01 ,Larry,Jones,A,30,1189,635,0,0,160,158,0,0,0,99,485,220,238,195,0,0
JONESMA01 ,Major,Jones,N,13,92,24,11,7,18,5,3,2,2,15,22,11,5,2,0,0
JONESNI01 ,Nick,Jones,N,7,84,33,0,0,5,7,0,0,0,9,28,8,20,17,0,0
JONESOZ01 ,Ozell,Jones,N,5,73,17,12,5,17,4,1,4,7,18,11,8,6,1,0,0
JONESRI01 ,Rich,Jones,A,39,1177,452,0,0,255,89,0,0,0,126,496,195,92,62,0,0
JONESRO01 ,Robin,Jones,N,19,105,36,0,0,23,9,0,0,0,24,32,15,9,6,0,0
